Código;Ação;Qtde. Teórica;Part. (%)
LAME4;LOJAS AMERIC;847.010.651;0,657
AMAR3;LOJAS MARISA;111.476.495;0,037
LREN3;LOJAS RENNER;887.417.914;1,411
LPSB3;LOPES BRASIL;114.874.308;0,02
MDIA3;M.DIASBRANCO;83.669.782;0,098
MGLU3;MAGAZ LUIZA;2.668.955.512;2,029
POMO3;MARCOPOLO;167.673.527;0,019
POMO4;MARCOPOLO;573.419.889;0,07
MRFG3;MARFRIG;368.864.634;0,254
MATD3;MATER DEI;354.723.193;0,214
CASH3;MELIUZ;74.543.311;0,132
MELK3;MELNICK;76.214.700;0,017
MTIG4;METAL IGUACU;41.850;0
LEVE3;METAL LEVE;38.492.519;0,046
MILS3;MILLS;115.486.678;0,036
BEEF3;MINERVA;240.482.896;0,081
MTRE3;MITRE REALTY;54.039.454;0,023
MBLY3;MOBLY;44.444.445;0,029
MODL3;MODALMAIS;37.206.000;0,01
MODL4;MODALMAIS;74.394.000;0,015
MODL11;MODALMAIS;51.050.000;0,034
MOSI3;MOSAICO;55.594.460;0,037
MDNE3;MOURA DUBEUX;57.199.595;0,02
MOVI3;MOVIDA;132.113.940;0,094
MRVE3;MRV;293.978.672;0,173
MULT3;MULTIPLAN;245.888.754;0,207
NEOE3;NEOENERGIA;226.098.192;0,141
NGRD3;NEOGRID;108.100.000;0,022
OPCT3;OCEANPACT;199.959.554;0,064
ODPV3;ODONTOPREV;263.448.316;0,124
OMGE3;OMEGA GER;122.249.557;0,167
ORVR3;ORIZON;33.918.099;0,036
OSXB3;OSX BRASIL;1.062.294;0
OFSA3;OUROFINO S/A;23.582.833;0,029
PCAR3;P.ACUCAR-CBD;156.928.631;0,218
PDTC3;PADTEC;34.893.806;0,008
PGMN3;PAGUE MENOS;159.318.000;0,064
PMAM3;PARANAPANEMA;43.403.849;0,024
PETR3;PETROBRAS;3.684.060.179;4,011
PETR4;PETROBRAS;4.566.457.037;4,831
BRDT3;PETROBRAS BR;1.164.958.126;1,117
RECV3;PETRORECSA;223.667.558;0,159
PRIO3;PETRORIO;807.220.415;0,566
PTNT4;PETTENATI;31.585.060;0,007
PETZ3;PETZ;261.956.811;0,242
PINE4;PINE;53.587.434;0,006
PLPL3;PLANOEPLANO;73.404.500;0,016
PSSA3;PORTO SEGURO;93.637.072;0,18
PTBL3;PORTOBELLO;69.996.578;0,044
POSI3;POSITIVO TEC;78.616.498;0,035
PRNR3;PRINER;38.177.550;0,014
PFRM3;PROFARMA;87.499.778;0,021
QUAL3;QUALICORP;283.467.789;0,295
LJQQ3;QUERO-QUERO;177.734.774;0,146
RADL3;RAIADROGASIL;1.072.645.150;0,953
RAPT4;RANDON PART;177.421.406;0,087
RDOR3;REDE D OR;903.127.590;2,241
RDNI3;RNI;15.049.835;0,006
RSID3;ROSSI RESID;13.676.606;0,005
RAIL3;RUMO S.A.;1.218.081.171;0,838
SBSP3;SABESP;339.999.111;0,447
SAPR4;SANEPAR;203.503.821;0,03
SAPR11;SANEPAR;200.991.234;0,147
SANB11;SANTANDER BR;355.642.348;0,518
STBP3;SANTOS BRP;857.995.211;0,279
SCAR3;SAO CARLOS;22.777.352;0,035
SMTO3;SAO MARTINHO;143.032.073;0,186
SEQL3;SEQUOIA LOG;109.785.229;0,111
SEER3;SER EDUCA;54.346.207;0,037
SIMH3;SIMPAR;85.662.375;0,171
SQIA3;SINQIA;58.702.058;0,052
SLCE3;SLC AGRICOLA;86.086.214;0,159
SGPS3;SPRINGS;23.408.641;0,01
SULA11;SUL AMERICA;284.566.116;0,356
SUZB3;SUZANO S.A.;724.921.241;1,558
TAEE11;TAESA;218.568.274;0,29
TASA3;TAURUS ARMAS;7.795.474;0,007
TASA4;TAURUS ARMAS;48.884.169;0,042
TECN3;TECHNOS;64.903.072;0,007
TCSA3;TECNISA;54.501.246;0,016
TGMA3;TEGMA;32.001.480;0,028
TEND3;TENDA;96.408.761;0,087
TESA3;TERRA SANTA;7.184.729;0,013
TIMS3;TIM;808.485.985;0,335
SHOW3;TIME FOR FUN;35.113.740;0,008
TOTS3;TOTVS;480.228.410;0,65
TFCO4;TRACK FIELD;57.536.221;0,032
TRIS3;TRISUL;78.643.944;0,027
TPIS3;TRIUNFO PART;74.061.523;0,009
TUPY3;TUPY;66.821.197;0,057
UGPA3;ULTRAPAR;1.085.987.426;0,718
UCAS3;UNICASA;29.340.638;0,005
VALE3;VALE;4.721.557.982;19,221
VLID3;VALID;78.582.401;0,031
VAMO3;VAMOS;45.620.437;0,093
VVAR3;VIAVAREJO;1.595.508.601;0,906
VIVA3;VIVARA S.A.;93.368.726;0,11
VULC3;VULCABRAS;74.685.291;0,026
WEGE3;WEG;1.482.296.002;1,795
WEST3;WESTWING;79.438.948;0,026
WIZS3;WIZ S.A.;77.719.799;0,049
YDUQ3;YDUQS PART;300.483.575;0,354
