Código;Ação;Qtde. Teórica;Part. (%)
MOVI3;MOVIDA;264.227.880;0,108
MRVE3;MRV;587.957.344;0,198
MULT3;MULTIPLAN;368.833.131;0,179
NEOE3;NEOENERGIA;452.196.384;0,162
NGRD3;NEOGRID;216.200.000;0,026
OPCT3;OCEANPACT;399.919.108;0,074
ODPV3;ODONTOPREV;526.896.632;0,142
OMGE3;OMEGA GER;244.499.114;0,192
ORVR3;ORIZON;67.836.198;0,041
OFSA3;OUROFINO S/A;47.165.666;0,033
PCAR3;P.ACUCAR-CBD;313.857.262;0,251
PDTC3;PADTEC;69.787.612;0,01
PGMN3;PAGUE MENOS;318.636.000;0,074
PMAM3;PARANAPANEMA;86.807.698;0,027
PETR3;PETROBRAS;5.526.090.268;3,46
PETR4;PETROBRAS;6.849.685.555;4,166
BRDT3;PETROBRAS BR;2.329.916.252;1,285
RECV3;PETRORECSA;447.335.116;0,183
PRIO3;PETRORIO;1.614.440.830;0,65
PETZ3;PETZ;523.913.622;0,279
PINE4;PINE;80.381.151;0,005
PLPL3;PLANOEPLANO;146.809.000;0,019
PSSA3;PORTO SEGURO;187.274.144;0,207
PTBL3;PORTOBELLO;139.993.156;0,051
POSI3;POSITIVO TEC;157.232.996;0,04
PRNR3;PRINER;76.355.100;0,016
PFRM3;PROFARMA;174.999.556;0,024
QUAL3;QUALICORP;566.935.578;0,339
LJQQ3;QUERO-QUERO;355.469.548;0,168
RADL3;RAIADROGASIL;2.145.290.300;1,096
RAPT3;RANDON PART;21.308.966;0,006
RAPT4;RANDON PART;177.421.406;0,05
RDOR3;REDE D OR;1.806.255.180;2,577
RDNI3;RNI;30.099.670;0,007
RSID3;ROSSI RESID;27.353.212;0,006
RAIL3;RUMO S.A.;2.436.162.342;0,964
SBSP3;SABESP;679.998.222;0,514
SAPR4;SANEPAR;305.255.731;0,026
SAPR11;SANEPAR;301.486.851;0,127
STBP3;SANTOS BRP;1.715.990.422;0,32
SCAR3;SAO CARLOS;45.554.704;0,04
SMTO3;SAO MARTINHO;286.064.146;0,214
SEQL3;SEQUOIA LOG;219.570.458;0,128
SEER3;SER EDUCA;108.692.414;0,042
SIMH3;SIMPAR;171.324.750;0,197
SQIA3;SINQIA;117.404.116;0,06
SLCE3;SLC AGRICOLA;172.172.428;0,183
SGPS3;SPRINGS;46.817.282;0,011
SULA11;SUL AMERICA;426.849.174;0,307
SUZB3;SUZANO S.A.;1.449.842.482;1,792
TAEE11;TAESA;327.852.411;0,25
TASA3;TAURUS ARMAS;11.693.211;0,006
TASA4;TAURUS ARMAS;73.326.253;0,036
TECN3;TECHNOS;129.806.144;0,008
TCSA3;TECNISA;109.002.492;0,019
TGMA3;TEGMA;64.002.960;0,032
TEND3;TENDA;192.817.522;0,1
TESA3;TERRA SANTA;14.369.458;0,015
TIMS3;TIM;1.616.971.970;0,385
SHOW3;TIME FOR FUN;70.227.480;0,009
TOTS3;TOTVS;960.456.820;0,747
TFCO4;TRACK FIELD;86.304.331;0,028
TRPL3;TRAN PAULIST;27.080.900;0,018
TRPL4;TRAN PAULIST;395.797.044;0,205
TRIS3;TRISUL;157.287.888;0,032
TPIS3;TRIUNFO PART;148.123.046;0,011
TUPY3;TUPY;133.642.394;0,065
UGPA3;ULTRAPAR;2.171.974.852;0,826
UCAS3;UNICASA;58.681.276;0,006
USIM3;USIMINAS;161.021.803;0,066
USIM5;USIMINAS;513.796.208;0,203
VALE3;VALE;8.207.010.444;19,21
VLID3;VALID;157.164.802;0,036
VAMO3;VAMOS;91.240.874;0,107
VVAR3;VIAVAREJO;3.191.017.202;1,041
VIVA3;VIVARA S.A.;186.737.452;0,127
VULC3;VULCABRAS;149.370.582;0,03
WEGE3;WEG;2.964.592.004;2,064
WEST3;WESTWING;158.877.896;0,03
WIZS3;WIZ S.A.;155.439.598;0,057
YDUQ3;YDUQS PART;600.967.150;0,408
