Código;Ação;Qtde. Teórica;Part. (%)
ALSO3;ALIANSCSONAE;127.376.805;0,138
ALPA4;ALPARGATAS;168.770.200;0,315
ABEV3;AMBEV S/A;4.358.542.894;2,766
ASAI3;ASSAI;156.928.631;0,505
AZUL4;AZUL;327.262.616;0,534
BTOW3;B2W DIGITAL;201.802.882;0,497
B3SA3;B3;6.119.434.194;3,826
BIDI4;BANCO INTER;100.239.024;0,097
BIDI11;BANCO INTER;453.631.743;1,312
BPAN4;BANCO PAN;341.124.068;0,305
BBSE3;BBSEGURIDADE;671.584.841;0,577
BRML3;BR MALLS PAR;843.728.684;0,318
BBDC3;BRADESCO;1.253.093.907;1,018
BBDC4;BRADESCO;4.261.649.634;4,076
BRAP4;BRADESPAR;222.604.507;0,615
BBAS3;BRASIL;1.283.197.221;1,533
BRKM5;BRASKEM;264.640.575;0,586
BRFS3;BRF SA;811.759.800;0,825
BPAC11;BTGP BANCO;1.041.983.176;1,182
CRFB3;CARREFOUR BR;391.758.726;0,306
CCRO3;CCR SA;1.115.693.556;0,558
CMIG4;CEMIG;1.081.211.185;0,488
CESP6;CESP;182.017.689;0,162
HGTX3;CIA HERING;126.186.408;0,16
CIEL3;CIELO;1.112.196.638;0,15
COGN3;COGNA ON;1.847.994.874;0,297
CPLE6;COPEL;570.829.074;0,126
CSAN3;COSAN;1.169.237.744;1,041
CPFE3;CPFL ENERGIA;187.714.249;0,188
CVCB3;CVC BRASIL;225.955.651;0,233
CYRE3;CYRELA REALT;281.154.098;0,244
DTEX3;DURATEX;273.813.447;0,242
ECOR3;ECORODOVIAS;172.602.770;0,076
ELET3;ELETROBRAS;358.018.408;0,575
ELET6;ELETROBRAS;242.977.127;0,391
EMBR3;EMBRAER;736.143.105;0,516
ENBR3;ENERGIAS BR;231.489.471;0,152
ENGI11;ENERGISA;250.679.709;0,434
ENEV3;ENEVA;1.258.511.620;0,794
EGIE3;ENGIE BRASIL;254.792.279;0,371
EQTL3;EQUATORIAL;1.010.286.085;0,931
EZTC3;EZTEC;95.756.217;0,111
FLRY3;FLEURY;303.800.430;0,293
GGBR4;GERDAU;995.903.643;1,096
GOAU4;GERDAU MET;693.699.918;0,357
GOLL4;GOL;178.123.292;0,152
NTCO3;GRUPO NATURA;841.433.075;1,775
SBFG3;GRUPO SBF;88.709.474;0,126
HAPV3;HAPVIDA;1.265.256.490;0,725
HYPE3;HYPERA;410.147.968;0,526
IGTA3;IGUATEMI;85.796.919;0,129
MEAL3;IMC S/A;264.441.032;0,04
GNDI3;INTERMEDICA;593.438.080;1,874
IRBR3;IRBBRASIL RE;1.255.286.531;0,269
ITSA4;ITAUSA;4.515.538.171;1,872
ITUB4;ITAUUNIBANCO;4.770.095.054;5,282
JBSS3;JBS;1.388.025.890;1,502
JHSF3;JHSF PART;288.832.602;0,078
KLBN11;KLABIN S/A;922.294.338;0,903
LIGT3;LIGHT S/A;372.555.324;0,211
RENT3;LOCALIZA;593.841.434;1,413
LCAM3;LOCAMERICA;323.763.077;0,33
LWSA3;LOCAWEB;427.663.748;0,43
LAME3;LOJAS AMERIC;249.502.964;0,192
LAME4;LOJAS AMERIC;847.010.651;0,679
AMAR3;LOJAS MARISA;111.476.495;0,038
LREN3;LOJAS RENNER;887.417.914;1,459
MGLU3;MAGAZ LUIZA;2.668.955.512;2,098
MRFG3;MARFRIG;368.864.634;0,262
BEEF3;MINERVA;240.482.896;0,084
MOVI3;MOVIDA;132.113.940;0,097
MRVE3;MRV;293.978.672;0,178
MULT3;MULTIPLAN;245.888.754;0,215
NEOE3;NEOENERGIA;226.098.192;0,146
PCAR3;P.ACUCAR-CBD;156.928.631;0,226
PETR3;PETROBRAS;3.684.060.179;4,148
PETR4;PETROBRAS;4.566.457.037;4,996
BRDT3;PETROBRAS BR;1.164.958.126;1,155
PRIO3;PETRORIO;807.220.415;0,585
PSSA3;PORTO SEGURO;93.637.072;0,186
QUAL3;QUALICORP;283.467.789;0,305
RADL3;RAIADROGASIL;1.072.645.150;0,985
RAPT4;RANDON PART;177.421.406;0,09
RAIL3;RUMO S.A.;1.218.081.171;0,867
SBSP3;SABESP;339.999.111;0,462
SAPR11;SANEPAR;200.991.234;0,152
SANB11;SANTANDER BR;355.642.348;0,535
CSNA3;SID NACIONAL;642.398.790;1,051
SULA11;SUL AMERICA;284.566.116;0,368
SUZB3;SUZANO S.A.;724.921.241;1,612
TAEE11;TAESA;218.568.274;0,3
VIVT3;TELEF BRASIL;444.219.852;0,688
TIMS3;TIM;808.485.985;0,347
TOTS3;TOTVS;480.228.410;0,672
UGPA3;ULTRAPAR;1.085.987.426;0,742
USIM5;USIMINAS;513.796.208;0,365
VALE3;VALE;5.130.801.424;21,601
VVAR3;VIAVAREJO;1.595.508.601;0,937
WEGE3;WEG;1.482.296.002;1,856
YDUQ3;YDUQS PART;300.483.575;0,367
