Código;Índice;Qtde Teórica;Part. (%)
BIDI4;IBrA;100239024;0.090
BIDI11;IBrA;453631743;1.209
BPAN4;IBrA;341124068;0.281
BRSR6;IBrA;202531540;0.092
BBSE3;IBrA;671584841;0.531
BKBR3;IBrA;272245759;0.111
BRML3;IBrA;843728684;0.294
BRPR3;IBrA;198812616;0.062
BBDC3;IBrA;1253093907;0.938
BBDC4;IBrA;4261649634;3.757
BRAP4;IBrA;222604507;0.567
BBAS3;IBrA;1283197221;1.412
AGRO3;IBrA;51771532;0.053
BRKM5;IBrA;264640575;0.540
BRFS3;IBrA;811759800;0.760
BPAC11;IBrA;1041983176;1.090
CAML3;IBrA;116264997;0.038
CRFB3;IBrA;391758726;0.282
CCRO3;IBrA;1115693556;0.514
CEAB3;IBrA;106394635;0.052
CMIG3;IBrA;266451715;0.133
CMIG4;IBrA;1081211185;0.449
CESP6;IBrA;182017689;0.149
HGTX3;IBrA;126186408;0.148
CIEL3;IBrA;1112196638;0.139
COGN3;IBrA;1847994874;0.274
CSMG3;IBrA;188444559;0.100
CPLE3;IBrA;71640156;0.014
CPLE6;IBrA;570829074;0.116
CSAN3;IBrA;1169237744;0.960
CPFE3;IBrA;187714249;0.173
CURY3;IBrA;104545454;0.037
CVCB3;IBrA;225955651;0.215
CYRE3;IBrA;281154098;0.225
PNVL3;IBrA;68859355;0.050
DIRR3;IBrA;81360368;0.039
DTEX3;IBrA;273813447;0.223
ECOR3;IBrA;172602770;0.070
ELET3;IBrA;358018408;0.529
ELET6;IBrA;242977127;0.360
EMBR3;IBrA;736143105;0.476
ENAT3;IBrA;75939767;0.047
ENBR3;IBrA;231489471;0.140
ENGI11;IBrA;250679709;0.400
ENEV3;IBrA;1258511620;0.732
EGIE3;IBrA;254792279;0.342
ENJU3;IBrA;167521497;0.059
EQTL3;IBrA;1010286085;0.858
EVEN3;IBrA;209535948;0.075
EZTC3;IBrA;95756217;0.103
FESA4;IBrA;40145300;0.061
FLRY3;IBrA;303800430;0.270
GFSA3;IBrA;118208091;0.018
GGBR4;IBrA;995903643;1.010
GOAU4;IBrA;693699918;0.329
GOLL4;IBrA;178123292;0.140
GRND3;IBrA;268371180;0.092
GMAT3;IBrA;463952163;0.126
NTCO3;IBrA;841433075;1.636
SBFG3;IBrA;88709474;0.116
SOMA3;IBrA;183851421;0.100
GUAR3;IBrA;81944760;0.058
HAPV3;IBrA;1265256490;0.668
HBOR3;IBrA;65261522;0.019
HBSA3;IBrA;325623566;0.072
HYPE3;IBrA;410147968;0.484
IGTA3;IBrA;85796919;0.119
PARD3;IBrA;43661030;0.031
MEAL3;IBrA;264441032;0.037
ROMI3;IBrA;37272660;0.031
GNDI3;IBrA;593438080;1.727
MYPK3;IBrA;141465625;0.078
RANI3;IBrA;85725289;0.027
IRBR3;IBrA;1255286531;0.248
ITSA4;IBrA;4515538171;1.725
ITUB3;IBrA;384789136;0.352
ITUB4;IBrA;4770095054;4.867
JBSS3;IBrA;1388025890;1.384
JPSA3;IBrA;34833911;0.040
JHSF3;IBrA;288832602;0.072
KLBN11;IBrA;922294338;0.833
LAVV3;IBrA;93139429;0.026
LIGT3;IBrA;372555324;0.195
RENT3;IBrA;593841434;1.302
LCAM3;IBrA;323763077;0.304
LWSA3;IBrA;427663748;0.396
LOGG3;IBrA;59190591;0.065
LOGN3;IBrA;100109944;0.065
LAME3;IBrA;249502964;0.177
LAME4;IBrA;847010651;0.626
AMAR3;IBrA;111476495;0.035
LREN3;IBrA;887417914;1.345
LPSB3;IBrA;114874308;0.019
MDIA3;IBrA;83669782;0.093
MGLU3;IBrA;2668955512;1.934
POMO4;IBrA;573419889;0.067
